Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 8 [21000/49000 (43%)]	Train Loss: 1.907589	Val Loss: 1.919657	Val Acc: 53
Train Epoch: 8 [24000/49000 (49%)]	Train Loss: 1.948927	Val Loss: 1.923535	Val Acc: 53
Train Epoch: 8 [27000/49000 (55%)]	Train Loss: 1.887320	Val Loss: 1.924115	Val Acc: 53
Train Epoch: 8 [30000/49000 (61%)]	Train Loss: 1.875576	Val Loss: 1.923476	Val Acc: 53
Train Epoch: 8 [33000/49000 (67%)]	Train Loss: 1.924116	Val Loss: 1.926010	Val Acc: 53
Train Epoch: 8 [36000/49000 (73%)]	Train Loss: 1.916435	Val Loss: 1.930723	Val Acc: 52
Train Epoch: 8 [39000/49000 (79%)]	Train Loss: 1.869386	Val Loss: 1.927846	Val Acc: 53
Train Epoch: 8 [42000/49000 (85%)]	Train Loss: 1.940407	Val Loss: 1.921236	Val Acc: 53
Train Epoch: 8 [45000/49000 (91%)]	Train Loss: 1.877557	Val Loss: 1.933793	Val Acc: 52
Train Epoch: 8 [48000/49000 (98%)]	Train Loss: 1.878522	Val Loss: 1.923844	Val Acc: 54
Train Epoch: 9 [0/49000 (0%)]	Train Loss: 1.883341	Val Loss: 1.924069	Val Acc: 53
Train Epoch: 9 [3000/49000 (6%)]	Train Loss: 1.911412	Val Loss: 1.939336	Val Acc: 51
Train Epoch: 9 [6000/49000 (12%)]	Train Loss: 1.870659	Val Loss: 1.925611	Val Acc: 54
Train Epoch: 9 [9000/49000 (18%)]	Train Loss: 1.857820	Val Loss: 1.926907	Val Acc: 52
Train Epoch: 9 [12000/49000 (24%)]	Train Loss: 1.878502	Val Loss: 1.926984	Val Acc: 53
Train Epoch: 9 [15000/49000 (30%)]	Train Loss: 1.872848	Val Loss: 1.925053	Val Acc: 53
Train Epoch: 9 [18000/49000 (37%)]	Train Loss: 1.872369	Val Loss: 1.917312	Val Acc: 54
Train Epoch: 9 [21000/49000 (43%)]	Train Loss: 1.914537	Val Loss: 1.939343	Val Acc: 51
Train Epoch: 9 [24000/49000 (49%)]	Train Loss: 1.889008	Val Loss: 1.922718	Val Acc: 53
Train Epoch: 9 [27000/49000 (55%)]	Train Loss: 1.866867	Val Loss: 1.915011	Val Acc: 54
Train Epoch: 9 [30000/49000 (61%)]	Train Loss: 1.901974	Val Loss: 1.935160	Val Acc: 51
Train Epoch: 9 [33000/49000 (67%)]	Train Loss: 1.893660	Val Loss: 1.921735	Val Acc: 54
Train Epoch: 9 [36000/49000 (73%)]	Train Loss: 1.878685	Val Loss: 1.911447	Val Acc: 54
Train Epoch: 9 [39000/49000 (79%)]	Train Loss: 1.879258	Val Loss: 1.914378	Val Acc: 54
Train Epoch: 9 [42000/49000 (85%)]	Train Loss: 1.873468	Val Loss: 1.912554	Val Acc: 55
Train Epoch: 9 [45000/49000 (91%)]	Train Loss: 1.890091	Val Loss: 1.915354	Val Acc: 54
Train Epoch: 9 [48000/49000 (98%)]	Train Loss: 1.873847	Val Loss: 1.938200	Val Acc: 51
Train Epoch: 10 [0/49000 (0%)]	Train Loss: 1.848751	Val Loss: 1.912411	Val Acc: 54
Train Epoch: 10 [3000/49000 (6%)]	Train Loss: 1.886444	Val Loss: 1.913867	Val Acc: 54
Train Epoch: 10 [6000/49000 (12%)]	Train Loss: 1.915347	Val Loss: 1.914561	Val Acc: 54
Train Epoch: 10 [9000/49000 (18%)]	Train Loss: 1.918313	Val Loss: 1.921179	Val Acc: 53
Train Epoch: 10 [12000/49000 (24%)]	Train Loss: 1.870217	Val Loss: 1.933834	Val Acc: 51
Train Epoch: 10 [15000/49000 (30%)]	Train Loss: 1.851159	Val Loss: 1.913984	Val Acc: 54
Train Epoch: 10 [18000/49000 (37%)]	Train Loss: 1.889450	Val Loss: 1.912366	Val Acc: 55
Train Epoch: 10 [21000/49000 (43%)]	Train Loss: 1.872997	Val Loss: 1.925726	Val Acc: 52
Train Epoch: 10 [24000/49000 (49%)]	Train Loss: 1.858293	Val Loss: 1.915909	Val Acc: 54
Train Epoch: 10 [27000/49000 (55%)]	Train Loss: 1.914575	Val Loss: 1.912752	Val Acc: 55
Train Epoch: 10 [30000/49000 (61%)]	Train Loss: 1.872871	Val Loss: 1.906141	Val Acc: 55
Train Epoch: 10 [33000/49000 (67%)]	Train Loss: 1.881575	Val Loss: 1.904754	Val Acc: 55
Train Epoch: 10 [36000/49000 (73%)]	Train Loss: 1.864603	Val Loss: 1.917873	Val Acc: 54
Train Epoch: 10 [39000/49000 (79%)]	Train Loss: 1.912001	Val Loss: 1.910489	Val Acc: 55
Train Epoch: 10 [42000/49000 (85%)]	Train Loss: 1.882958	Val Loss: 1.916178	Val Acc: 54
